source_gene,target_gene,similarity
WAC,ZNF649,0.3991
PKN3,SIK3,0.3988
COG6,NCAPG2,0.3987
COG6,LAT,0.398
GLIPR2,SINHCAF,0.3978
PLCG1,TESPA1,0.3977
LEPROTL1,SEC31A,0.3973
PDCL,YTHDF2,0.3959
DOLPP1,PLCG1,0.3956
SKIC8,TM2D1,0.3953
MPI,RTRAF,0.3951
ELP1,PDCL,0.3948
PDSS2,STARD3,0.3947
MIPEP,MRC2,0.3946
KLF2,PTEN,0.3946
ARFGEF2,LSP1,0.3941
ARFGEF2,MBOAT7,0.3941
NCAPG2,PARP14,0.3938
CD3E,COG6,0.393
TSPYL5,USP22,0.3927
IL16,MTR,0.3923
DDX19B,KPTN,0.392
CHD7,USP22,0.3918
PIK3C2A,RILPL2,0.3912
CD53,NIPSNAP3A,0.3903
ATF4,PRKAR1A,0.3903
CFAP298,TXNL4B,0.3903
CPSF6,PDSS2,0.3899
ACTR2,ATP5PO,0.3899
DYRK1A,ELP1,0.3896
SINHCAF,UBE2L3,0.3894
RILPL2,SOCS2,0.3893
STARD3,YTHDF2,0.3887
DENR,SENP5,0.3884
ARFGEF2,IL16,0.3877
TADA1,USP22,0.3874
STARD3,TXNL4B,0.3873
CLCC1,MRC2,0.3871
MED12,SINHCAF,0.3865
CPSF6,PRKAR1A,0.3858
GPI,LAMTOR2,0.3854
CREBBP,PARP14,0.385
ARFGEF2,SKIC8,0.3849
CEP250,IL16,0.3849
PDCD6,PIK3C2A,0.3848
IL2RB,SGF29,0.3847
SINHCAF,STX16,0.3845
COX6C,PRKAR1A,0.3833
BTAF1,TAF11,0.383
EIF4G1,UFM1,0.3827
EIF4G1,PDSS2,0.3826
CRTC3,IL16,0.3812
CPSF6,STARD3,0.3811
IL16,TMEM183A,0.3807
HAVCR2,RILPL2,0.3799
NIPSNAP3A,STARD3,0.3796
MED24,POGLUT3,0.379
COG6,DOLPP1,0.3789
NIPSNAP3A,PDSS2,0.3786
ARFGEF2,LRP8,0.3784
COG6,ZAP70,0.3773
CD53,STARD3,0.3768
CD53,PDSS2,0.3768
IL16,SCLY,0.3764
SKIC8,WAC,0.375
ACTR2,OXA1L,0.3749
RBM33,UBE2E2,0.3747
MED15,POGLUT3,0.3746
CEP250,LRP8,0.3746
DUSP22,IL16,0.3745
GATA3,IL2RB,0.3744
GABARAPL1,SKIC8,0.3743
RILPL2,SMAD2,0.3739
DOP1B,YTHDF2,0.3738
ERCC4,SIK3,0.3733
BPNT1,SKIC8,0.3727
PAXIP1,YTHDF2,0.3725
EIF4G1,PRKAR1A,0.3722
MTR,RILPL2,0.3716
MTR,PDCD6,0.371
INSR,SKIC8,0.3708
ARFGEF2,NIPSNAP3A,0.3707
CD3E,SIK3,0.3706
RILPL2,SCLY,0.3694
ELOB,UBE2L3,0.3694
NAA30,UBE2L3,0.3678
DDX1,MPI,0.3678
LEPROTL1,NIPSNAP3A,0.3678
KPTN,MORC2,0.367
ATF4,RTRAF,0.3669
FZD6,RBM33,0.3665
DCAKD,EIF1AX,0.3664
ATF4,CPSF6,0.3661
CRTC3,MBOAT7,0.3656
EIF4G1,RTRAF,0.3652
MED15,MRC2,0.3652
LRP8,SEC31A,0.3652
AHR,MYB,0.3649
LRP8,PIK3C2A,0.3638
ATF4,CD53,0.3636
FZD6,PARP14,0.3634
PDCD6,TBKBP1,0.3634
DLG4,LRP8,0.3632
NIPSNAP3A,PPIH,0.363
COG6,PLCG1,0.3627
SKIC8,STARD3,0.3622
IL12RB2,TXNL4B,0.3621
MED12,MED15,0.3618
LAT,SIK3,0.3616
ATF4,UFM1,0.3614
BHLHE40,GATA3,0.3612
GATA3,PDCL,0.361
ARFGEF2,CD53,0.3607
DENR,UBE2L3,0.3604
DUSP22,MBOAT7,0.36
CFAP298,LRP8,0.3594
DCAKD,UBE2E2,0.3592
ATF4,TAF11,0.3591
MED1,MED24,0.3587
CCNC,DLG4,0.3584
ARRDC1,PDCD6,0.3582
HAVCR2,PDCD6,0.3579
ACLY,PMVK,0.3572
ELP1,TXNL4B,0.3567
HROB,NIPSNAP3A,0.3563
ACTR2,LAMTOR2,0.3558
CCNC,PDCL,0.3553
MED12,TAF13,0.3538
CCNC,SOCS2,0.3533
DENR,TAF6L,0.3527
CLCC1,ELOF1,0.3523
PDSS2,TAF11,0.3522
LCK,RBM33,0.3518
MRC2,OXA1L,0.3518
LRP8,UBXN1,0.3517
MBOAT7,MTR,0.351
MED15,MOSPD1,0.351
KHDRBS1,NELFCD,0.3508
SGF29,ZNF649,0.3507
LRP8,OSBPL2,0.3505
HCCS,PRKAR1A,0.3503
MBOAT7,SMIM3,0.35
ELOB,SENP5,0.3497
KHDRBS1,TAF11,0.3495
ELOB,TADA2B,0.3485
PGGT1B,RBM33,0.3483
ARRDC1,MBOAT7,0.3473
LSP1,PIK3C2A,0.3473
DENR,TESPA1,0.3472
CPSF6,TXNL4B,0.3471
DENR,POGLUT3,0.3471
ELOB,MED19,0.347
SEC31A,YTHDF2,0.3466
PMVK,RBM10,0.3465
MBOAT7,SC5D,0.3465
ERCC4,MRC2,0.3456
ARFGEF2,LARP4,0.3452
HNRNPUL2,MBOAT7,0.3451
DHX36,UVRAG,0.3451
GATA3,SGF29,0.3442
PARP14,ZNF891,0.3435
ARRDC1,LSP1,0.3435
ACTR2,MRC2,0.343
EGR2,KPTN,0.3429
PDSS2,UBR5,0.3429
ERCC4,LAMTOR2,0.3428
MRC2,TAF13,0.3417
ELOB,NCAPG2,0.3416
LEO1,SKIC8,0.3412
AHR,ARNT,0.3396
EIF4G1,TAF11,0.3396
BHLHE40,KPTN,0.3391
CD3E,MED15,0.339
ATF7IP2,DCAKD,0.3384
DOP1B,GATA3,0.3383
LAT,PARP14,0.338
SOCS2,STAT3,0.3379
EWSR1,MOSPD1,0.3378
CLCC1,MED15,0.3376
ATF4,UBR5,0.3371
CD53,DDX19B,0.337
KPTN,NIPSNAP3A,0.3369
CRTC3,KPTN,0.3365
MYB,PTEN,0.3356
DENR,TADA2B,0.3354
LSP1,TBKBP1,0.3353
COG6,FZD6,0.3351
LSP1,PPIH,0.3351
BTAF1,PDSS2,0.3348
EIF1AX,ELOB,0.3343
ATAD5,MED15,0.3336
ELOB,TAF6L,0.3331
PDSS2,RTRAF,0.3323
CLCC1,RHOA,0.3322
COG6,MPI,0.3321
ARFGEF2,YTHDF2,0.3321
ITPR1,LSP1,0.332
DYRK1A,LSP1,0.3315
BHLHE40,IL2RB,0.3312
IL12RB2,KHDRBS1,0.3303
ACLY,TFAM,0.3296
POGLUT3,TAF11,0.329
EIF4G1,UBR5,0.3288
GLIPR2,MED1,0.3283
MTA2,PRKAR1A,0.3267
PRKAR1A,RTRAF,0.3262
ATP2A2,RHOA,0.3257
MYB,NCKAP1L,0.3252
CLCC1,RBM10,0.3244
DDX19B,LARP4,0.3237
TM2D1,YTHDF2,0.3233
CD3E,LAMTOR2,0.3221
ITPR1,YTHDF2,0.322
ATF4,HCCS,0.3207
PKN3,RRAGA,0.3205
APAF1,ARFGEF2,0.3204
GATA3,INSR,0.3199
LAMTOR2,RHOA,0.3197
PPM1L,SGF29,0.3196
ATAD5,UBE2L3,0.3188
EWSR1,MED15,0.3188
BTAF1,MED24,0.3187
CCNC,STIP1,0.3184
IL2RB,PDCL,0.3182
APAF1,PDCL,0.3177
MOSPD1,PKN3,0.3171
CD53,KHDRBS1,0.3171
DENR,TAF13,0.3169
ACLY,TWNK,0.3167
CD3E,RRAGA,0.3165
LAT,PKN3,0.3154
LARP4,STARD3,0.3148
RHOA,UBR5,0.3148
PRKAR1A,UBR5,0.3145
CCDC117,NEU1,0.314
KPTN,STARD3,0.314
CD3E,PKN3,0.314
COG6,USO1,0.3125
EIF4G2,ELOB,0.3123
MED1,SUPT7L,0.3123
HAVCR2,NEU1,0.3121
MTR,NEU1,0.3116
CD53,TXNL4B,0.3115
AHR,TP53INP2,0.3112
ATF4,IL12RB2,0.3107
CRTC3,LARP4,0.3106
SINHCAF,SUPT7L,0.3104
GATA3,TAOK2,0.3098
EIF4G1,TXNL4B,0.3097
LARP4,RILPL2,0.3082
BHLHE40,NFRKB,0.3081
CHD7,TAF13,0.3079
MED15,SETDB1,0.3079
IL2RB,NSD1,0.3079
MTR,RETREG2,0.3078
ACTR2,RHOA,0.3075
ERCC4,RRAGA,0.3074
NEU1,SMIM3,0.3073
GLIPR2,NAA30,0.307
EIF4G1,TAF13,0.3069
IL2RB,ZNF649,0.3068
PKN3,PLCG1,0.3062
ATF7IP2,SETDB1,0.3044
CD53,UBR5,0.3038
CEP250,LARP4,0.3036
RHOA,TFAM,0.3033
COX6C,TAF11,0.3033
SINHCAF,TADA2B,0.3027
FZD6,PKN3,0.3026
RPRD2,YTHDF2,0.3018
MED19,SINHCAF,0.3017
HCCS,RTRAF,0.3016
IL12RB2,PDSS2,0.3015
DCAKD,NCAPG2,0.301
COASY,PPIH,0.3005
CCDC117,RETREG2,0.3005
MED1,SENP5,0.3001
LAT,RRAGA,0.2991
NAA30,TRAF3,0.2991
MED15,UVRAG,0.2988
NELFCD,TAF11,0.2985
CRTC3,NEU1,0.2982
ATAD5,MED19,0.2974
NELFCD,SKIC8,0.2974
LARP4,TMEM183A,0.2967
LARP4,PIK3C2A,0.2967
ATF4,NELFCD,0.2963
ARFGEF2,NEU1,0.295
ERCC4,MIPEP,0.2948
APAF1,YTHDF2,0.2945
LAMTOR2,RPTOR,0.294
DCAKD,DOLPP1,0.2938
ATXN7L3,BRPF1,0.2937
CLCC1,MOSPD1,0.2936
IL2RB,PAXIP1,0.293
APAF1,STARD3,0.2929
ATP2A2,PRKAR1A,0.2928
DOP1B,IL2RB,0.2924
APAF1,ELP1,0.2923
MED1,TSPYL5,0.292
APAF1,ITPR1,0.2911
BTAF1,TAF13,0.2907
ATP5PO,PKN3,0.2903
SLC35B1,UFM1,0.2901
CLCC1,ERCC4,0.2896
CLCC1,GPI,0.2895
GATA3,NSD1,0.2893
APAF1,HROB,0.2892
HAVCR2,RETREG2,0.289
APAF1,DDX19B,0.289
EHMT2,MOSPD1,0.2884
ELOF1,PLCG1,0.2878
MOSPD1,MRC2,0.2878
MYB,ZMYM2,0.2866
TXNL4B,UBR5,0.2863
CD3E,ELOF1,0.2859
IL12RB2,TAF11,0.285
DENR,EIF4G2,0.2848
MBOAT7,NEU1,0.2847
RETREG2,STARD3,0.2844
NFRKB,PDCL,0.2843
DHX36,STRAP,0.2842
PKN3,RBM10,0.2837
ERCC4,PMVK,0.2836
KDM1A,SIK3,0.2834
ATAD5,TESPA1,0.2832
MYB,UBXN1,0.2831
IL12RB2,PRKAR1A,0.2824
RPTOR,TRAF3,0.2813
CPSF6,IL12RB2,0.281
IL2RB,STIP1,0.2807
ATAD5,NCAPG2,0.2804
NCOR1,NEU1,0.2801
BPNT1,MYB,0.28
CCNC,CREBBP,0.2792
NFRKB,SMIM3,0.279
CPSF6,HCCS,0.2776
NCOR1,RRAGA,0.2776
PIK3C2A,RETREG2,0.2769
CD3E,KDM1A,0.2761
CPSF6,UBR5,0.2759
KDM1A,LCK,0.2759
CYB5B,PPIH,0.2753
DENR,USP7,0.2749
IL12RB2,UBR5,0.2749
CREBBP,LAT,0.2749
KDM1A,LAT,0.2747
ELOF1,PKN3,0.2734
IL12RB2,MED24,0.273
KLF2,MYB,0.2724
TAF13,USP7,0.2722
ELOF1,ZAP70,0.2713
IL16,RETREG2,0.2711
KDM1A,LAMTOR2,0.271
HNRNPUL2,STAT3,0.2704
COASY,PDSS2,0.2704
NAA30,TESPA1,0.2702
IL2RB,SMARCE1,0.2701
ATP2A2,MTA2,0.2699
COASY,ELP1,0.2699
MRC2,UVRAG,0.2695
RETREG2,TMEM183A,0.2693
KHDRBS1,UFM1,0.2693
ELOF1,LAT,0.2688
CYB5B,PDCL,0.2683
CREBBP,USO1,0.2674
ARFGEF2,UFM1,0.2672
CREBBP,ZAP70,0.2661
CREBBP,DOLPP1,0.2657
SETDB1,UVRAG,0.2657
RETREG2,SOCS2,0.2651
ACTR2,PTPA,0.265
TESPA1,USP7,0.2647
TXNL4B,UFM1,0.2641
BTAF1,CPSF6,0.264
ATP2A2,TAF13,0.264
SIK3,STIP1,0.2638
COX6C,NELFCD,0.2636
TESPA1,TRAF3,0.2636
DHX36,MRC2,0.2629
KDM1A,RRAGA,0.2628
KDM1A,PLCG1,0.2628
ELP1,UFM1,0.2627
DHX36,EWSR1,0.2623
ACTR2,RPRD2,0.2623
KDM1A,PGGT1B,0.2619
EWSR1,FH,0.2613
ATF4,BTAF1,0.2613
GPI,KDM1A,0.2612
CREBBP,DCAKD,0.2606
HCCS,PPIH,0.2605
EHMT2,EWSR1,0.2604
LEO1,RPRD2,0.2603
CFAP298,UFM1,0.26
ATXN7L3,PGGT1B,0.2597
AHR,STIP1,0.2595
SMIM3,STAT3,0.2589
EIF4G2,NCAPG2,0.2588
ELOF1,LEO1,0.2576
GABARAPL1,MYB,0.2575
NAA30,SENP5,0.2571
RHOA,USP7,0.2567
ATAD5,MYB,0.2566
ATP2A2,IL12RB2,0.2565
EIF4G2,UBE2E2,0.2563
LEO1,MOSPD1,0.2554
DOP1B,NFRKB,0.2553
ATAD5,NAA30,0.2549
CREBBP,IL2RB,0.2546
NELFCD,PDSS2,0.2541
BTAF1,PPIH,0.2537
ELP1,SLC35B1,0.2535
EIF4G1,HCCS,0.2535
FH,MRC2,0.2533
PRKAR1A,USP7,0.253
ATXN7L3,PLCG1,0.2528
FH,RHOA,0.2527
NCAPG2,USP7,0.2525
ELOF1,RRAGA,0.2524
PTPA,RPRD2,0.252
DHX36,MED15,0.2516
PTPA,TXNL4B,0.2515
MBOAT7,NCOR1,0.2513
ATP2A2,EIF4G1,0.2512
DCAKD,LAT,0.2506
NAA30,NCAPG2,0.2497
ATF4,ATP2A2,0.2495
DDX1,HCCS,0.2494
PDSS2,RPRD2,0.249
EIF4G2,UBE2L3,0.2488
MED19,MED24,0.2465
COASY,CPSF6,0.2462
LAMTOR2,MOSPD1,0.2454
ATP2A2,DENR,0.2451
DUSP22,STAT3,0.2444
COASY,STARD3,0.2441
ATF4,DDX1,0.244
PTPA,STARD3,0.2438
RHOA,RPRD2,0.2438
DHX36,RHOA,0.2435
NFRKB,SMARCB1,0.2433
PDSS2,PTPA,0.2429
RPTOR,RRAGA,0.2426
BTAF1,NIPSNAP3A,0.2424
DUSP22,NFRKB,0.2421
EIF4G2,PLCG1,0.2421
DHX36,SETDB1,0.2418
CEP55,RHOA,0.2416
RRAGA,STAT3,0.2414
CRTC3,NFRKB,0.241
ATXN7L3,EFR3A,0.2409
KLF2,SMARCB1,0.2407
ATAD5,ERCC4,0.2401
ELOF1,GPI,0.2401
MAGI3,NFRKB,0.2394
PTPA,YTHDF2,0.2389
COASY,KHDRBS1,0.2385
ATF4,COASY,0.2374
EWSR1,PMVK,0.2361
CYB5B,YTHDF2,0.2351
ATP2A2,UVRAG,0.2344
COASY,HCCS,0.2332
CD3E,EIF4G2,0.2329
MPI,UFM1,0.2329
DDX1,EIF4G1,0.2329
FH,TFAM,0.2328
GATA3,SMARCE1,0.2324
NAA30,TAF6L,0.2319
EWSR1,MRC2,0.2313
ATAD5,USP7,0.2311
MPI,OXA1L,0.2306
ATP2A2,FH,0.2299
ATXN7L3,ZAP70,0.2294
CD3E,USO1,0.2291
ATXN7L3,UBE2E2,0.2287
EIF4G1,MTA2,0.2286
LAT,USO1,0.2281
ATXN7L3,NCAPG2,0.2278
ACTR2,CEP55,0.2278
BRPF1,USP22,0.2275
KHDRBS1,RPRD2,0.227
DOP1B,STIP1,0.2266
EIF4G2,ZAP70,0.2265
ATP2A2,PTEN,0.2265
PRKAR1A,PTPA,0.2255
RPTOR,UBR5,0.2249
ATF4,PTPA,0.2248
LEO1,UVRAG,0.2244
CPSF6,NELFCD,0.224
CYB5B,HROB,0.224
APAF1,CYB5B,0.2233
CYB5B,DOP1B,0.2233
ERCC4,GPI,0.2218
CCDC117,NCOR1,0.2217
ARFGEF2,CYB5B,0.2216
ATP2A2,USP7,0.2216
USO1,ZAP70,0.2208
NAA30,RPTOR,0.2203
CEP55,ERCC4,0.2201
DDX1,TXNL4B,0.2198
CYB5B,HAVCR2,0.2195
GATA3,STIP1,0.2194
CD53,NELFCD,0.219
HAVCR2,STAT3,0.2189
FH,PRKAR1A,0.2187
LAMTOR2,SETDB1,0.2181
ATAD5,MTA2,0.2181
EGR2,SMG7,0.218
ERCC4,NCOR1,0.2178
EWSR1,SETDB1,0.2176
ELAVL1,NCOR1,0.2171
NCOR1,RILPL2,0.2169
FH,MIPEP,0.2166
ACLY,COASY,0.2164
EIF1AX,TRAF3,0.2159
KIFAP3,UBR5,0.2159
MTA2,TAF13,0.2158
CCDC117,STAT3,0.2149
ARNT,STIP1,0.2147
LEO1,MED15,0.2133
ERCC4,FH,0.213
LCK,TMBIM4,0.2126
KIFAP3,RHOA,0.2124
NSD1,ZNF649,0.212
CASC3,ZNF649,0.2117
SMIM3,TMBIM4,0.2117
COG6,SLC35B1,0.2117
RPRD2,TFAM,0.2108
KLF2,SMARCE1,0.2105
MTR,NCOR1,0.2105
ARNT,CCNC,0.2086
ACTR2,UVRAG,0.2084
KHDRBS1,MED24,0.2084
SC5D,TMBIM4,0.2084
HDGF,STRAP,0.2081
ACLY,OXA1L,0.2079
ACLY,SGF29,0.2069
BRPF1,KPTN,0.2067
BHLHE40,NSD1,0.2055
GPI,INTS10,0.2052
CASC3,ITPR1,0.2051
ATF4,MED24,0.2045
MRC2,SETDB1,0.2044
LEO1,PDSS2,0.2033
TFAM,UVRAG,0.203
STIP1,TP53INP2,0.2029
CREBBP,SMARCE1,0.2022
ACLY,ATP5PO,0.2012
CASC3,DUSP22,0.2009
BRPF1,TMBIM4,0.2002
EWSR1,STRAP,0.1988
MOSPD1,SETDB1,0.197
BTAF1,WDR82,0.1963
EIF4G2,STRAP,0.1953
LEO1,SETDB1,0.1945
KIFAP3,LARP4,0.1943
HDGF,NSD1,0.194
ARFGEF2,TMBIM4,0.1939
SCLY,TMBIM4,0.1936
MRC2,MTA2,0.1925
EHMT2,MED15,0.1923
PTEN,RRAGA,0.1919
CRTC3,TMBIM4,0.1911
STRAP,YTHDF2,0.191
FH,KIFAP3,0.1909
FZD6,MED23,0.19
APAF1,STRAP,0.1898
IL12RB2,MTA2,0.1893
SIN3B,SKIC8,0.1888
CASC3,DLG4,0.1884
CASC3,HDGF,0.1883
CD53,STRAP,0.188
ATP2A2,KLF2,0.186
FZD6,TMBIM4,0.1857
HNRNPUL2,NSD1,0.1854
CASC3,HNRNPUL2,0.1847
EGR2,SMG1,0.1836
SIN3B,STARD3,0.1829
ELAVL1,STRAP,0.1829
ARNT,DOP1B,0.1806
SEC31A,SIN3B,0.1796
DHX36,MED23,0.179
PTEN,SETDB1,0.1789
MTA2,NCAPG2,0.178
WAC,WDR82,0.1778
PTEN,RPTOR,0.1777
CEP55,RRAGA,0.1771
ATAD5,TRAF3,0.1764
FH,PTEN,0.176
LAMTOR2,PTEN,0.1747
CEP55,CLCC1,0.1742
ATP2A2,KIFAP3,0.1728
EHMT2,HAVCR2,0.172
EHMT2,LEO1,0.171
CRTC3,NSD1,0.1708
ARNT,SOCS2,0.1702
INTS10,RHOA,0.1698
LEPROTL1,SIN3B,0.1697
LCK,MED23,0.1697
DOP1B,TP53INP2,0.1688
NSD1,SMARCE1,0.1681
PDCL,TP53INP2,0.1678
RTRAF,SMG1,0.1677
CCDC117,EHMT2,0.1666
KIFAP3,STRAP,0.1656
EHMT2,SETDB1,0.164
NCKAP1L,TRAF3,0.1629
HCCS,TRAF3,0.1626
KIFAP3,PTEN,0.1614
ARNT,SGF29,0.1608
COG6,MED23,0.1608
INTS10,LAMTOR2,0.1599
CD53,CEP55,0.1586
IL2RB,INTS10,0.1583
PRKAR1A,RPTOR,0.1576
MED23,MOSPD1,0.157
SLC35B1,SMG7,0.1563
MED23,POGLUT3,0.1559
CEP55,PTPA,0.1559
SMG1,STRAP,0.1547
SMG7,STRAP,0.1547
SGF29,SMARCE1,0.154
KHDRBS1,SIN3B,0.154
PRKAR1A,TRAF3,0.1535
EHMT2,KPTN,0.1535
ATP2A2,RPTOR,0.1531
NFRKB,SMARCE1,0.152
CEP55,MRC2,0.1518
INTS10,KDM1A,0.1493
DDX1,SMG1,0.1492
SCLY,SIN3B,0.1466
ARNT,PDCL,0.1449
BRPF1,FZD6,0.1444
ATF4,SIN3B,0.1441
CFAP298,TP53INP2,0.1437
MAGI3,TP53INP2,0.1428
BTAF1,INTS10,0.1421
CCNC,TP53INP2,0.1385
LSP1,SIN3B,0.1382
BRPF1,CHD7,0.1381
BRPF1,LARP4,0.1372
TADA1,WDR82,0.1349
BHLHE40,KLF2,0.1326
ELP1,SMG1,0.1306
BRPF1,GPI,0.1306
SLC35B1,SMG1,0.1298
INTS10,STAT3,0.1284
EGR2,KLF2,0.1274
KLF2,SMAD2,0.127
ARNT,INTS10,0.1236
ELAVL1,SMG7,0.1203
HDGF,SMG7,0.1181
DDX19B,SMG7,0.1154
BHLHE40,WDR82,0.099
SGF29,WDR82,0.098
RETREG2,WDR82,0.0972
STAT3,WDR82,0.0927
MORC2,WDR82,0.0878
